,Time_Stamp,Robot_Name,TCP_Current_x,TCP_Current_y,TCP_Current_z,TCP_Current_rx,TCP_Current_ry,TCP_Current_rz,Torque_1,Torque_2,Torque_3,Torque_4,Torque_5,Torque_6,Amp_1,Amp_2,Amp_3,Amp_4,Amp_5,Amp_6,load_factor_1,load_factor_2,load_factor_3,load_factor_4,load_factor_5,load_factor_6,Teach_Point
1,2023-10-31 08:00:00.06,denso_02,350.5228271484375,493.8033142089844,362.0837097167969,179.87423706054688,0.0684175342321395,89.65217590332031,-7.539056301116943,36.02238464355469,-31.708553314208984,-13.127435684204102,20.524948120117188,10.431351661682127,2.6245276927948,31.40062522888184,24.605098724365234,5.035400390625,17.349363327026367,3.356933832168579,0,0,0,0,0,0,32
6,2023-10-31 08:00:00.295,denso_01,350.1340026855469,383.9308471679688,325.9095153808594,179.89833068847656,0.062911607325077,89.68330383300781,9.493626594543455,33.538082122802734,-41.465030670166016,-7.364171028137207,-11.028329849243164,-21.17880630493164,3.6087255477905273,21.05269241333008,30.89942741394043,4.119873046875,10.500929832458496,11.749267578125,0,0,0,0,0,0,38
7,2023-10-31 08:00:00.31,denso_03,350.10040283203125,383.8856506347656,322.3592224121094,179.89984130859375,0.0641787350177764,89.68109130859375,13.961215019226074,28.25893783569336,-38.53808975219727,3.842176198959351,-7.352220058441162,-23.075414657592773,5.577121257781982,18.911739349365234,31.47163963317871,0.457763671875,7.304995059967041,12.168885231018066,0,0,0,0,0,0,38
9,2023-10-31 08:00:00.404,denso_01,349.8360290527344,383.6123352050781,306.935302734375,179.90199279785156,0.0630266144871711,89.68453979492188,8.93517780303955,31.05377769470215,-33.65985107421875,-2.24126935005188,-6.126850128173828,-18.333890914916992,3.6087255477905273,31.043800354003903,18.882984161376957,0.91552734375,9.131243705749512,10.9100341796875,0,0,0,0,0,0,38
10,2023-10-31 08:00:00.404,denso_03,349.8197326660156,383.5884399414063,306.5478820800781,179.9008026123047,0.0638033300638198,89.68282318115234,12.844318389892578,38.19614791870117,-35.61114501953125,8.004533767700195,11.947358131408691,-20.546602249145508,5.577121257781982,17.484437942504883,16.02192497253418,3.662109375,6.848432540893555,11.749267578125,0,0,0,0,0,0,38
14,2023-10-31 08:00:00.638,denso_03,349.7527770996094,383.5384826660156,318.3232421875,179.88877868652344,0.0636399909853935,89.7442855834961,10.610523223876951,35.09077072143555,-36.5867919921875,6.083445549011231,18.99323463439941,16.43728256225586,3.6087255477905273,21.766342163085938,37.76596832275391,3.204345703125,15.06655216217041,5.8746337890625,0,0,0,0,0,0,38
16,2023-10-31 08:00:00.67,denso_01,349.7737121582031,383.5623474121094,319.0764465332031,179.89002990722656,0.0582186169922351,89.71711730957031,8.376729011535645,33.227542877197266,-40.00156021118164,6.403626918792725,19.29957771301269,10.747453689575195,3.2806596755981445,23.90729331970215,32.61606216430664,2.74658203125,14.609990119934082,3.356933832168579,0,0,0,0,0,0,38
17,2023-10-31 08:00:00.748,denso_03,349.791015625,383.5448913574219,328.3531188964844,179.88626098632812,0.0630764365196228,89.72172546386719,10.052075386047363,32.295928955078125,-38.53808975219727,3.842176198959351,15.929810523986816,24.023719787597656,3.936791658401489,22.123167037963867,30.89942741394043,1.8310546875,14.609990119934082,11.32965087890625,0,0,0,0,0,0,38
19,2023-10-31 08:00:00.779,denso_01,349.8038635253906,383.5665283203125,331.0038757324219,179.885498046875,0.0581980124115943,89.70912170410156,8.097504615783691,31.98539161682129,-36.5867919921875,6.403626918792725,19.605920791625977,18.01778984069824,2.9525938034057617,23.55046844482422,29.18279266357422,3.204345703125,13.24030303955078,8.392333984375,0,0,0,0,0,0,38
20,2023-10-31 08:00:00.842,denso_03,349.8237609863281,383.5448913574219,338.74090576171875,179.8820343017578,0.0615391694009304,89.69377899169922,10.052075386047363,31.674854278564453,-39.51373672485352,0.3201813399791717,15.929810523986816,25.28812599182129,3.6087255477905273,20.69586563110352,25.17731094360352,0.457763671875,9.58780574798584,14.266968727111816,0,0,0,0,0,0,38
22,2023-10-31 08:00:00.888,denso_01,349.8233947753906,383.557861328125,341.2755126953125,179.88185119628906,0.0570625625550746,89.6906967163086,7.818280696868896,32.606468200683594,-35.61114501953125,5.443082809448242,19.29957771301269,20.23050117492676,2.9525938034057617,23.90729331970215,25.17731094360352,2.288818359375,15.523114204406738,10.9100341796875,0,0,0,0,0,0,36
23,2023-10-31 08:00:00.935,denso_03,349.8267517089844,383.53363037109375,345.3807678222656,179.8824920654297,0.063432477414608,89.68513488769531,10.052075386047363,31.98539161682129,-37.56243896484375,-3.2018134593963623,18.99323463439941,26.23643112182617,3.2806596755981445,21.766342163085938,25.7495231628418,0.457763671875,8.218119621276855,13.847352027893066,0,0,0,0,0,0,36
24,2023-10-31 08:00:00.982,denso_02,349.8241271972656,383.5304565429688,314.2646179199219,179.8861541748047,0.0656279474496841,89.69231414794922,4.7468132972717285,38.19614791870117,-33.17202377319336,4.48253870010376,21.75031852722168,8.21864128112793,1.6403298377990725,29.973323822021484,25.17731094360352,3.204345703125,11.414054870605469,2.93731689453125,0,0,0,0,0,0,38
25,2023-10-31 08:00:00.998,denso_01,349.82525634765625,383.547607421875,347.28289794921875,179.88177490234375,0.0582509152591228,89.68340301513672,8.097504615783691,31.05377769470215,-35.123321533203125,3.842176198959351,18.380550384521484,20.862703323364254,2.9525938034057617,20.339040756225582,27.466157913208008,2.288818359375,11.414054870605469,11.749267578125,0,0,0,0,0,0,36
